"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C21, C23, C25","21","0.1uF 50V","Capacitor_THT_Custom:C_Disc_D7.0mm_W2.3mm_P5.00mm",""
"2","C19","1","10uF 35V","Capacitor_THT_Custom:CP_Radial_D7.8mm_P2.50mm",""
"3","C20, C28","2","0.01uF 1KV","Capacitor_THT_Custom:C_Disc_D7.0mm_W2.3mm_P5.00mm",""
"4","C22","1","220uF / 16V","Capacitor_THT_Custom:CP_Axial_L21.0mm_D7.6mm_P28.00mm_Horizontal",""
"5","C24, C26, C27, C29","4","4.7nF 50V","Capacitor_THT_Custom:C_Disc_D7.0mm_W2.3mm_P5.00mm",""
"6","C30","1","330uF / 25V","Capacitor_THT_Custom:C_Disc_D7.0mm_W2.3mm_P5.00mm",""
"7","CR1","1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"8","J3","1","Audio Connector","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"9","J4","1","Bus Grant Bypass","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"10","J5","1","High ROM Select","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"11","R1, R2, R16","3","1K","Resistor_THT_Custom:R_Axial_DIN0309_L9.0mm_D2.54mm_P12.70mm_Horizontal",""
"12","R3, R4, R6, R7, R8","5","100K","Resistor_THT_Custom:R_Axial_DIN0309_L9.0mm_D2.54mm_P12.70mm_Horizontal",""
"13","R5, R9","2","200K","Resistor_THT_Custom:R_Axial_DIN0309_L9.0mm_D2.54mm_P12.70mm_Horizontal",""
"14","R10, R11, R12, R13, R14, R15","6","6.8K","Resistor_THT_Custom:R_Axial_DIN0309_L9.0mm_D2.54mm_P12.70mm_Horizontal",""
"15","U1, U5","2","74LS244","Package_DIP:DIP-20_W7.62mm",""
"16","U2","1","6116","Package_DIP:DIP-24_W15.24mm",""
"17","U3, U4","2","74LS193","Package_DIP:DIP-16_W7.62mm",""
"18","U6, U11","2","74LS32","Package_DIP:DIP-14_W7.62mm",""
"19","U7","1","74LS00","Package_DIP:DIP-14_W7.62mm",""
"20","U8, U13, U14, U15","4","74LS74","Package_DIP:DIP-14_W7.62mm",""
"21","U9, U17","2","2716","Package_DIP:DIP-24_W15.24mm",""
"22","U10","1","Z80CPU","Package_DIP:DIP-40_W15.24mm",""
"23","U12","1","74LS04","Package_DIP:DIP-14_W7.62mm",""
"24","U16","1","7406","Package_DIP:DIP-14_W7.62mm",""
"25","U18","1","74LS245","Package_DIP:DIP-20_W7.62mm",""
"26","U19","1","AD7224LN","Package_DIP:DIP-18_W7.62mm",""
"27","U20","1","LM324","Package_DIP:DIP-14_W7.62mm",""
